$  adb logcat -v time -s ThermalEngine
--------- beginning of main
--------- beginning of system
01-22 00:42:54.475 I/ThermalEngine(  588): Thermal daemon started
01-22 00:42:54.480 I/ThermalEngine(  588): No target config file, falling back to '/vendor/etc/thermal-engine.conf'
01-22 00:42:54.481 I/ThermalEngine(  588): devices_manager_init: Init
01-22 00:42:54.481 I/ThermalEngine(  588): Number of gpus :1
01-22 00:42:54.481 I/ThermalEngine(  588): Number of cpus :4
01-22 00:42:54.482 I/ThermalEngine(  588): update_cpu_topology: Cluster info node not found/sys/module/msm_thermal/cluster_info
01-22 00:42:54.483 E/ThermalEngine(  588): read_int_list_from_file: Read error -1.
01-22 00:42:54.483 E/ThermalEngine(  588): tmd_add_cpufreq_dev_data: Invalid or no boost freqs
01-22 00:42:54.496 E/ThermalEngine(  588): read_int_list_from_file: Read error -1.
01-22 00:42:54.496 E/ThermalEngine(  588): tmd_add_cpufreq_dev_data: Invalid or no boost freqs
01-22 00:42:54.497 E/ThermalEngine(  588): read_int_list_from_file: Read error -1.
01-22 00:42:54.497 E/ThermalEngine(  588): tmd_add_cpufreq_dev_data: Invalid or no boost freqs
01-22 00:42:54.499 E/ThermalEngine(  588): read_int_list_from_file: Read error -1.
01-22 00:42:54.499 E/ThermalEngine(  588): tmd_add_cpufreq_dev_data: Invalid or no boost freqs
01-22 00:42:54.518 I/ThermalEngine(  588): MODEM thermal mitigation available.
01-22 00:42:54.519 I/ThermalEngine(  588): Mitigation:modem[MODEM]:0 pending QMI request succeded
01-22 00:42:54.520 I/ThermalEngine(  588): Mitigation:vdd_restriction[MODEM]:0 pending QMI request succeded
01-22 00:42:54.521 I/ThermalEngine(  588): Mitigation:modem_cx[MODEM]:0 pending QMI request succeded
01-22 00:42:54.523 I/ThermalEngine(  588): Mitigation:modem_proc[MODEM]:0 pending QMI request succeded
01-22 00:42:54.527 I/ThermalEngine(  588): tmd_init_cluster_devs: No clusters found
01-22 00:42:54.531 E/ThermalEngine(  588): Could not find npu cooling device
01-22 00:42:54.531 E/ThermalEngine(  588): tmd_init_npu_device: Invalid NPU level:-1.
01-22 00:42:54.531 E/ThermalEngine(  588): devices_init: Init NPU TMD failed -12
01-22 00:42:54.533 I/ThermalEngine(  588): vdd_rstr_init: Could not read /sys/module/msm_thermal/vdd_restriction/enabled
01-22 00:42:54.534 E/ThermalEngine(  588): Unable to acquire profile handle
01-22 00:42:54.534 E/ThermalEngine(  588): open/sys/class/power_supply/battery/system_temp_level failed2
01-22 00:42:54.534 E/ThermalEngine(  588): Unable to init battery charging mitigation to 0
01-22 00:42:54.534 I/ThermalEngine(  588): sensors_manager_init: Init
01-22 00:42:54.545 E/ThermalEngine(  588): socket creation success
01-22 00:42:54.585 E/ThermalEngine(  588): Unable to change to /sys/devices/soc/
01-22 00:42:54.586 E/ThermalEngine(  588): bcl_setup: Unexpected node error
01-22 00:42:54.586 E/ThermalEngine(  588): add_tgt_sensor: bcl sensor setup failed failed.
01-22 00:42:54.586 E/ThermalEngine(  588): add_tgt_sensors_set: Error adding bcl
01-22 00:42:54.586 E/ThermalEngine(  588): sensors_init: Error adding BCL TS
01-22 00:42:54.586 E/ThermalEngine(  588): speaker_cal_init_data: ERROR Uknown device
01-22 00:42:54.586 I/ThermalEngine(  588): Loading config file for virtual sensor
01-22 00:42:54.586 I/ThermalEngine(  588): Loading configuration file /vendor/etc/thermal-engine.conf
01-22 00:42:54.589 I/ThermalEngine(  588): Parsing section global
01-22 00:42:54.589 I/ThermalEngine(  588): Found field 'debug'
01-22 00:42:54.589 I/ThermalEngine(  588): Debug output enabled from config
01-22 00:42:54.590 E/ThermalEngine(  588): virtual_sensors_init: Error getting virtual sensors set
01-22 00:42:54.590 I/ThermalEngine(  588): Loading configuration file /vendor/etc/thermal-engine.conf
01-22 00:42:54.590 I/ThermalEngine(  588): Parsing section global
01-22 00:42:54.590 I/ThermalEngine(  588): Found field 'debug'
01-22 00:42:54.590 I/ThermalEngine(  588): Debug output enabled from config
01-22 00:42:54.590 I/ThermalEngine(  588): Created section 'CPU-MONITOR'
01-22 00:42:54.590 I/ThermalEngine(  588): Algo Type 'monitor'
01-22 00:42:54.591 I/ThermalEngine(  588): Parsing section CPU-MONITOR
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'sampling'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'sensor'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'thresholds'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'thresholds_clr'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'actions'
01-22 00:42:54.591 D/ThermalEngine(  588): action:shutdown
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'action_info'
01-22 00:42:54.591 I/ThermalEngine(  588): Created section 'CX_MITIGATION_MONITOR'
01-22 00:42:54.591 I/ThermalEngine(  588): Algo Type 'monitor'
01-22 00:42:54.591 I/ThermalEngine(  588): Parsing section CX_MITIGATION_MONITOR
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'sampling'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'sensor'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'thresholds'
01-22 00:42:54.591 I/ThermalEngine(  588): Found field 'thresholds_clr'
